LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,swir22_swir16,mci,ndci,nbi,ndmi,bsi,awei,tc_wetness,y,x,dem
2,0.35660000000000003,0.037000000000000005,0.031,0.0604,0.2038203,3.3720136e-07,1.0278795e-05,0.35150000000000003,0.3678,0.16,0.08080000000000001,0.028300000000000002,0.0942,0.26680000000000004,0.3255,-0.45190562613430124,-0.24024640657084181,-0.04553119730185493,0.8119918699186991,0.6347968204442463,0.8119918699186991,-0.7103117505995203,0.5132450331125827,0.8378378378378377,0.505,3.785562632696391,0.4359756097560975,-0.3805652342237708,0.3805652342237708,-0.5338345864661654,-0.5727000000000002,-0.06696455,-2402795.0,3874825.0,40.085777
2,0.27440000000000003,0.0526,0.0442,0.0678,0.09331506,4.8468706e-07,8.239016e-06,0.2943,0.3456,0.1814,0.10790000000000001,0.0368,0.1057,0.2401,0.2748,-0.45585874799357945,-0.1262458471760797,-0.09135802469135806,0.6782874617737004,0.5032975764799364,0.6782874617737004,-0.6037405026300409,0.6519174041297936,0.8403041825095058,0.5948180815876516,2.5960264900662255,0.3354390397978522,-0.2040368582711716,0.2040368582711716,-0.3299937382592361,-0.4430250000000001,-0.06464336000000001,-2402455.0,3874485.0,34.495712
5,0.41900000000000004,0.303,0.2092,0.26280000000000003,0.23940732,8.4407924e-07,9.843982e-06,0.444,0.3956,0.397,0.28600000000000003,0.0575,0.3393,0.3826,0.4102,-0.20339496817217334,0.07104984093319186,-0.5688038995125609,0.1606648199445984,0.4463429256594725,0.1606648199445984,-0.22909944265180404,0.7960426179604261,0.6904290429042904,0.7204030226700252,1.2348953728264074,0.05651564689397478,-0.026960784313725512,0.026960784313725512,-0.03220506079526793,-0.2863000000000002,0.014062329999999922,-2402285.0,3874695.0,32.349663
5,0.38580000000000003,0.0483,0.039400000000000004,0.0729,0.13517766,2.1956562e-07,7.0735186e-06,0.43970000000000004,0.4582,0.227,0.114,0.029500000000000002,0.1232,0.3523,0.4126,-0.5138379459819941,-0.202970297029703,-0.14368650217706824,0.7774706288873531,0.6638649373233825,0.7774706288873531,-0.6821451929365598,0.5404663923182442,0.8157349896480331,0.5022026431718062,3.1314935064935066,0.43673469387755093,-0.25913838120104443,0.25913838120104443,-0.44748936170212766,-0.66905,-0.09208580999999996,-2402395.0,3874905.0,30.307169
2,0.44670000000000004,0.0562,0.0415,0.0839,0.09795266,9.5146895e-08,5.445936e-06,0.443,0.4239,0.2394,0.1228,0.0328,0.1348,0.35600000000000004,0.41350000000000003,-0.48097742035261365,-0.19771591720199858,-0.11709286675639298,0.7764963213362499,0.720164329609887,0.7764963213362499,-0.6837542404824726,0.49463647199046484,0.7384341637010676,0.5129490392648287,3.31379821958457,0.41151832460732984,-0.30214254481853964,0.30214254481853964,-0.4634292565947243,-0.7472000000000001,-0.09477422999999997,-2401845.0,3874055.0,28.122194
2,0.38670000000000004,0.0639,0.0507,0.0844,0.13459058,6.43155e-07,7.81308e-06,0.40240000000000004,0.4118,0.22080000000000002,0.1337,0.0539,0.1275,0.3089,0.372,-0.4469200524246396,-0.13823331085637225,0.030592734225621428,0.7163781624500666,0.6496024750872397,0.7163781624500666,-0.6416896624920398,0.6007109004739336,0.7934272300469484,0.6055253623188406,3.0329411764705885,0.3322884012539185,-0.27308641975308645,0.27308641975308645,-0.37763779527559066,-0.616125,-0.08806232000000001,-2401625.0,3873575.0,30.249184
2,0.2346,0.0604,0.034,0.058,0.096003205,5.541384e-07,7.5047915e-06,0.2233,0.2743,0.1763,0.1136,0.0239,0.0978,0.1739,0.203,-0.5049082373026036,0.020270270270270264,-0.17443868739205526,0.5905084745762712,0.392026825633383,0.5905084745762712,-0.6035543403964456,0.5862068965517242,0.5629139072847682,0.6443562110039704,2.3987730061349692,0.236409608091024,-0.1418836699926989,0.1418836699926989,-0.21373700858563036,-0.40895000000000004,-0.06856669000000001,-2401285.0,3872685.0,28.37969
2,0.29150000000000004,0.0626,0.044500000000000005,0.0702,0.13893232,1.5353023e-06,1.009998e-05,0.2733,0.2776,0.20520000000000002,0.13340000000000002,0.035500000000000004,0.1109,0.2253,0.2564,-0.49019607843137253,-0.05722891566265057,-0.11249999999999999,0.6464275628353573,0.49960625492181354,0.6464275628353573,-0.6118330107824165,0.633903133903134,0.7108626198083068,0.6500974658869396,2.6284941388638416,0.27838616714697406,-0.17374672840748945,0.17374672840748945,-0.2631578947368421,-0.4917,-0.08265217000000001,-2400995.0,3872135.0,28.999578
2,0.3881,0.0488,0.04,0.0678,0.121839106,4.9997567e-07,7.843184e-06,0.394,0.37510000000000004,0.1874,0.09960000000000001,0.029900000000000003,0.10890000000000001,0.29910000000000003,0.3715,-0.4686520376175549,-0.16295025728987989,-0.1444921316165951,0.7766079194323643,0.6672822072561374,0.7766079194323643,-0.7025663522702348,0.5899705014749262,0.8196721311475409,0.5314834578441836,3.5638200183654725,0.38110336081166774,-0.34874022589052994,0.34874022589052994,-0.48516912402428436,-0.62885,-0.07782505999999997,-2400385.0,3870975.0,29.137749
2,0.2921,0.0572,0.038200000000000005,0.0636,0.07331815,2.7229189e-07,4.8349634e-06,0.3181,0.3175,0.1966,0.1126,0.0273,0.1091,0.2444,0.29100000000000004,-0.5111452728670254,-0.05298013245033115,-0.16641221374045806,0.672487832808474,0.4989991103202847,0.672487832808474,-0.6423952769187519,0.6006289308176102,0.6678321678321679,0.572736520854527,2.677360219981668,0.31208659049909804,-0.19541641088602418,0.19541641088602418,-0.3209358128374326,-0.5076999999999999,-0.07699659,-2400645.0,3870425.0,17.703424
