LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,mci,ndci,nbi,y,x
3,0.3072,0.0646,0.0493,0.0818,0.10358078,3.31E-07,6.46E-06,0.3367,0.3347,0.2122,0.1172,0.0521,0.1345,0.2654,0.3025,-0.443537415,-0.117486339,0.027613412,0.652501345,0.530847893,0.652501345,-0.579434447,2.28401487,0.351079859,-0.18290335,-2384585,3859165
3,0.2795,0.064,0.049,0.0783,0.09590809,3.82E-07,7.31E-06,0.3195,0.2767,0.2076,0.1196,0.0548,0.1246,0.2505,0.2885,-0.452256034,-0.100491918,0.055876686,0.627365357,0.489776235,0.627365357,-0.562325321,2.24317817,0.321314952,-0.147608294,-2384505,3859225
3,0.3389,0.0506,0.04,0.07,0.15184934,3.88E-07,8.19E-06,0.3761,0.3793,0.1958,0.1062,0.0528,0.1175,0.2861,0.3463,-0.473288187,-0.160862355,0.137931034,0.740179718,0.593407821,0.740179718,-0.657618,2.884255319,0.397977394,-0.267626707,-2384165,3860105
3,0.3438,0.1314,0.0912,0.125,0.08774351,2.35E-07,4.53E-06,0.3827,0.3836,0.3148,0.1987,0.0833,0.2151,0.3085,0.3473,-0.4315598,0.024960998,-0.045272206,0.446969697,0.502762049,0.446969697,-0.466723549,1.59832636,0.241558442,-0.044032797,-2384835,3859035
12,0.3097,0.0367,0.0332,0.0504,0.089705996,2.62E-07,5.88E-06,0.3541,0.3505,0.1665,0.0817,0.047,0.0835,0.2548,0.3197,-0.53526971,-0.157290471,0.172069825,0.788106236,0.575806074,0.788106236,-0.720077756,3.708982036,0.389351082,-0.300713986,-2384795,3859105
6,0.3061,0.0687,0.0525,0.0795,0.08234335,1.78E-07,5.65E-06,0.3378,0.3532,0.2353,0.1334,0.0466,0.1363,0.2571,0.2997,-0.494917408,-0.072874494,-0.059535822,0.633404482,0.525876713,0.633404482,-0.587655602,2.245781365,0.329756098,-0.130772072,-2384805,3859075
6,0.2906,0.0714,0.0543,0.0794,0.08897299,2.35E-07,6.14E-06,0.3384,0.3534,0.2353,0.1335,0.047,0.1363,0.2575,0.3006,-0.495392437,-0.053050398,-0.072063179,0.605524862,0.499409186,0.605524862,-0.570810811,2.132061629,0.312469909,-0.105153071,-2384795,3859075
2,0.4204,0.0282,0.0282,0.0524,0.120499946,1.15E-07,5.21E-06,0.4324,0.4204,0.1667,0.0746,0.024,0.089,0.3175,0.4143,-0.521679598,-0.300248139,-0.08045977,0.874275524,0.742181264,0.874275524,-0.778341794,4.723595506,0.518771331,-0.432123999,-2392795,3867945
2,0.3202,0.0693,0.0522,0.0777,0.12572075,3.46E-07,7.39E-06,0.3669,0.3707,0.2165,0.124,0.0529,0.1202,0.28,0.3407,-0.471787899,-0.057142857,0.006660324,0.644159178,0.543845296,0.644159178,-0.60944961,2.663893511,0.268601583,-0.193217813,-2392775,3869195
2,0.4485,0.2376,0.1628,0.2105,0.29496744,2.90E-06,1.30E-05,0.4301,0.3865,0.3194,0.2146,0.0704,0.2544,0.372,0.4159,-0.205510474,0.060477572,-0.396226415,0.307389593,0.534541165,0.307389593,-0.361153263,1.762971698,0.034146341,-0.168120849,-2392795,3869315
2,0.3828,0.0588,0.0478,0.0766,0.13629909,3.46E-07,8.08E-06,0.3979,0.3876,0.2483,0.1426,0.0682,0.1439,0.3047,0.3675,-0.528470299,-0.131462334,0.175862069,0.733695652,0.652240215,0.733695652,-0.66652155,2.660180681,0.419832264,-0.213119949,-2392795,3869345
3,0.3417,0.0578,0.0519,0.0753,0.095738105,3.34E-07,5.86E-06,0.3686,0.3882,0.2021,0.1166,0.0634,0.1174,0.2891,0.3437,-0.457101658,-0.13148009,0.099739809,0.710638298,0.613007504,0.710638298,-0.638848921,2.910562181,0.340182648,-0.256712026,-2392525,3870115
